"","participant.code","player.bo1","player.bo2","player.bo3","player.bo4","player.bo5","player.bo6","player.bo7","player.bo8","player.bo9","player.bo10","player.index1","player.index2","player.index3","player.index4","player.index5","player.index6","player.index7","player.index8","player.index9","player.index10","player.trivial1","player.trivial2","player.trivial3","player.trivial4","player.trivial5","player.trivial6","player.trivial7","player.trivial8","player.trivial9","player.trivial10","player.realamounta1","player.realamountb1","player.realamounta2","player.realamountb2","player.realamounta3","player.realamountb3","player.realamounta4","player.realamountb4","player.realamounta5","player.realamountb5","player.realamounta6","player.realamountb6","player.realamounta7","player.realamountb7","player.realamounta8","player.realamountb8","player.realamounta9","player.realamountb9","player.realamounta10","player.realamountb10","player.realsamplea1","player.realsampleb1","player.realsamplea2","player.realsampleb2","player.realsamplea3","player.realsampleb3","player.realsamplea4","player.realsampleb4","player.realsamplea5","player.realsampleb5","player.realsamplea6","player.realsampleb6","player.realsamplea7","player.realsampleb7","player.realsamplea8","player.realsampleb8","player.realsamplea9","player.realsampleb9","player.realsamplea10","player.realsampleb10","player.realproba1","player.realproba2","player.realproba3","player.realproba4","player.realproba5","player.realproba6","player.realproba7","player.realproba8","player.realproba9","player.realproba10","player.realprobb1","player.realprobb2","player.realprobb3","player.realprobb4","player.realprobb5","player.realprobb6","player.realprobb7","player.realprobb8","player.realprobb9","player.realprobb10"
"1","ykjwa3lc",-100,-40,0,0,-20,0,0,0,-100,0,7,2,10,6,9,1,3,8,5,4,0,0,0,0,1,0,1,0,0,1,-50,-100,-40,-30,100,50,10,20,-20,-10,40,30,320,30,10,20,-90,-100,90,100,"['-50']","['0', '0', '-100', '0']","['0', '-40', '-40', '0', '-40', '-40', '-40', '0', '-40', '-40', '-40', '-40', '-40']","['-30']","['100', '100', '100', '100', '0', '100', '100']","['50']","['10']","['0', '20', '20', '0', '20', '20', '20', '0', '0', '20']","['-20', '-20', '-20', '-20']","['-10']","['0', '40', '40', '40', '40', '40']","['30']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['30']","['10']","['0', '20', '20', '20', '20']","['-90']","['-100', '-100', '-100', '0', '-100', '-100', '-100', '-100', '-100', '-100']","['90']","['100', '100', '100', '100', '100']",1,0.80000001,0.89999998,1,0.80000001,0.80000001,0.1,1,1,1,0.5,1,1,0.5,1,1,1,0.80000001,0.89999998,0.89999998
"2","ykjwa3lc",-100,-40,0,0,-20,0,0,0,-100,0,7,2,10,6,9,1,3,8,5,4,0,0,0,0,1,0,1,0,0,1,-50,-100,-40,-30,100,50,10,20,-20,-10,40,30,320,30,10,20,-90,-100,90,100,"['-50']","['0', '0', '-100', '0']","['0', '-40', '-40', '0', '-40', '-40', '-40', '0', '-40', '-40', '-40', '-40', '-40']","['-30']","['100', '100', '100', '100', '0', '100', '100']","['50']","['10']","['0', '20', '20', '0', '20', '20', '20', '0', '0', '20']","['-20', '-20', '-20', '-20']","['-10']","['0', '40', '40', '40', '40', '40']","['30']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['30']","['10']","['0', '20', '20', '20', '20']","['-90']","['-100', '-100', '-100', '0', '-100', '-100', '-100', '-100', '-100', '-100']","['90']","['100', '100', '100', '100', '100']",1,0.80000001,0.89999998,1,0.80000001,0.80000001,0.1,1,1,1,0.5,1,1,0.5,1,1,1,0.80000001,0.89999998,0.89999998
"3","q7kx4jl6",-100,0,-100,0,0,-20,0,0,0,-40,7,10,5,8,3,9,4,6,1,2,0,1,0,1,0,1,1,1,1,1,-50,-100,100,50,-100,-90,20,10,320,30,-20,-10,100,90,10,20,30,40,-30,-40,"['-50', '-50', '-50', '-50']","['-100', '0', '-100', '0', '0', '0', '-100', '-100', '-100', '0']","['100', '100', '100', '100']","['50']","['0', '-100', '-100', '-100', '-100', '-100', '0', '-100', '-100', '-100', '-100']","['-90', '-90', '-90']","['20', '20']","['10']","['0', '0', '0', '0', '0', '0', '0', '320', '0', '0', '0']","['30']","['-20']","['-10']","['100']","['90']","['10']","['20']","['30']","['0']","['-30']","['-40', '-40', '-40', '-40']",1,0.89999998,0.89999998,0.80000001,0.1,0.80000001,0.89999998,1,1,1,0.5,1,1,1,1,1,1,0.5,0.80000001,0.80000001
